Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrangeHRM,Firefox 108.0,,,2023-01-17 18:45:12,2023-01-17 18:46:27,1m - 15.472s,PASSED
,,,,,,,
Test Cases/OrangeHRM/Login and Logout,Firefox 108.0,,,2023-01-17 18:45:13,2023-01-17 18:46:27,1m - 14.428s,PASSED
"openBrowser("""")",Firefox 108.0,,,2023-01-17 18:45:15,2023-01-17 18:46:14,59.715s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Firefox 108.0,,,2023-01-17 18:46:14,2023-01-17 18:46:19,4.679s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""admin"")",Firefox 108.0,,,2023-01-17 18:46:19,2023-01-17 18:46:20,1.308s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Firefox 108.0,,,2023-01-17 18:46:20,2023-01-17 18:46:21,0.431s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Firefox 108.0,,,2023-01-17 18:46:21,2023-01-17 18:46:22,1.749s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/p_Paul Collings""))",Firefox 108.0,,,2023-01-17 18:46:22,2023-01-17 18:46:25,2.273s,PASSED
delay(1),Firefox 108.0,,,2023-01-17 18:46:25,2023-01-17 18:46:26,1.053s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Firefox 108.0,,,2023-01-17 18:46:26,2023-01-17 18:46:27,1.506s,PASSED
