Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA Healthcare,Firefox 108.0,,,2023-01-17 19:18:47,2023-01-17 19:19:40,53.004s,PASSED
,,,,,,,
Test Cases/OrangeHRM/CURA Healthcare,Firefox 108.0,,,2023-01-17 19:18:47,2023-01-17 19:19:40,52.096s,PASSED
"openBrowser("""")",Firefox 108.0,,,2023-01-17 19:18:48,2023-01-17 19:18:59,10.486s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 108.0,,,2023-01-17 19:18:59,2023-01-17 19:19:00,1.594s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/a_Make Appointment""))",Firefox 108.0,,,2023-01-17 19:19:00,2023-01-17 19:19:02,1.299s,PASSED
"setText(findTestObject(""CURA Healthcare/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 108.0,,,2023-01-17 19:19:02,2023-01-17 19:19:06,4.526s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 108.0,,,2023-01-17 19:19:06,2023-01-17 19:19:09,2.603s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/button_Login""))",Firefox 108.0,,,2023-01-17 19:19:09,2023-01-17 19:19:12,3.129s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Firefox 108.0,,,2023-01-17 19:19:12,2023-01-17 19:19:19,6.802s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Firefox 108.0,,,2023-01-17 19:19:19,2023-01-17 19:19:22,2.925s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/input_Medicaid_programs""))",Firefox 108.0,,,2023-01-17 19:19:22,2023-01-17 19:19:24,2.098s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",Firefox 108.0,,,2023-01-17 19:19:24,2023-01-17 19:19:26,2.065s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/td_18""))",Firefox 108.0,,,2023-01-17 19:19:26,2023-01-17 19:19:28,2.234s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/textarea_Comment_comment""), ""test"")",Firefox 108.0,,,2023-01-17 19:19:28,2023-01-17 19:19:32,3.497s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/button_Book Appointment""))",Firefox 108.0,,,2023-01-17 19:19:32,2023-01-17 19:19:34,2.600s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare/Page_CURA Healthcare Service/a_Go to Homepage""))",Firefox 108.0,,,2023-01-17 19:19:34,2023-01-17 19:19:37,2.461s,PASSED
closeBrowser(),Firefox 108.0,,,2023-01-17 19:19:37,2023-01-17 19:19:40,2.801s,PASSED
